observation_mode,observation_noise,n_sensors,model,active_mae_mean,active_mae_std,test_mae_mean,active_fraction_mean,events_mean,first_index_mean,n
event_traces,0.0,0,snnplus,0.000624705583319,3.535825943764489e-05,0.000624705583319,0.0078125,200.0,46.076923076899995,3
event_traces,0.0,4,convmultiplus,0.0019132729877766666,7.01287134568604e-07,0.0019132729877766666,0.0078125,4.0,46.076923076899995,3
event_traces,0.0,4,fnobase,0.00201692884418,0.0001287041590857168,0.00201692884418,0.0078125,4.0,46.076923076899995,3
event_traces,0.0,4,snn,0.0024135206572166667,0.00018193923191482615,0.0024135206572166667,0.0078125,4.0,46.076923076899995,3
event_traces,0.0,4,snnplus,0.00192115839978,1.262257207086886e-05,0.00192115839978,0.0078125,4.0,46.076923076899995,3
event_traces,0.0,8,convmultiplus,0.0017246228220566668,1.2465010077735033e-05,0.0017246228220566668,0.0078125,8.0,46.076923076899995,3
event_traces,0.0,8,fnobase,0.00177456989038,2.3336547601800644e-05,0.00177456989038,0.0078125,8.0,46.076923076899995,3
event_traces,0.0,8,snn,0.0018896020340066668,0.00013326350550621968,0.0018896020340066668,0.0078125,8.0,46.076923076899995,3
event_traces,0.0,8,snnplus,0.0017501469707466666,1.8730592400957416e-05,0.0017501469707466666,0.0078125,8.0,46.076923076899995,3
event_traces,0.0,12,convmultiplus,0.0010255895562246667,3.1330514472397186e-05,0.0010255895562246667,0.0078125,12.0,46.076923076899995,3
event_traces,0.0,12,fnobase,0.0012529919264633333,1.1884814769510703e-05,0.0012529919264633333,0.0078125,12.0,46.076923076899995,3
event_traces,0.0,12,snn,0.00139493221915,5.60928053357316e-05,0.00139493221915,0.0078125,12.0,46.076923076899995,3
event_traces,0.0,12,snnplus,0.0012021410172733333,1.661501443919349e-05,0.0012021410172733333,0.0078125,12.0,46.076923076899995,3
event_traces,0.0001,0,convmultiplus,0.0005880652563749999,1.5214594283057481e-05,0.0005880652563749999,1.0,25600.0,0.0,3
event_traces,0.0001,0,fnobase,0.000761625137943,9.669984257401066e-05,0.000761625137943,1.0,25600.0,0.0,3
event_traces,0.0001,0,snn,0.0008253619847156667,3.5193750982419764e-05,0.0008253619847156667,1.0,25600.0,0.0,3
event_traces,0.0001,0,snnplus,0.0006192230390823333,4.594551658294466e-05,0.0006192230390823333,1.0,25600.0,0.0,3
event_traces,0.0001,4,convmultiplus,0.00191251294943,2.0300466923862123e-06,0.00191251294943,1.0,512.0,0.0,3
event_traces,0.0001,4,fnobase,0.0019757860126533335,3.447725795227642e-05,0.0019757860126533335,1.0,512.0,0.0,3
event_traces,0.0001,4,snn,0.0024300099814366666,0.00016963554257929723,0.0024300099814366666,1.0,512.0,0.0,3
